"Name","year","month","city_num","pm25","lr_op","DATE","AWND","TAVG","PRCP"
"Asheville",2010,123,4,8.738357931922,0,"2010-03",0,7.38,72.8
"Asheville",2010,124,4,11.8634233147277,0,"2010-04",0,15.65,38
"Asheville",2010,125,4,10.1071154877869,0,"2010-05",0,19.55,67.4
"Asheville",2010,126,4,10.8971561164117,0,"2010-06",0,24.2,68.9
"Asheville",2010,127,4,12.8030388295579,0,"2010-07",0,25.47,58.3
"Asheville",2010,128,4,12.7098600708358,0,"2010-08",0,25.22,74.7
"Asheville",2010,129,4,10.2168107237559,0,"2010-09",0,20.9,82.7
"Asheville",2010,130,4,8.59909371547217,0,"2010-10",0,13.83,25.2
"Asheville",2010,131,4,8.8319518184431,0,"2010-11",0,8.8,88.5
"Asheville",2010,132,4,9.47538508135158,0,"2010-12",0,-1.01,39.7
"Asheville",2011,133,4,9.72265912908544,0,"2011-01",2.6,1.11,55.7
"Asheville",2011,134,4,9.3453309289188,0,"2011-02",3.2,6.59,62
"Asheville",2011,135,4,8.0451080041898,0,"2011-03",3,9.7,161.6
"Asheville",2011,136,4,8.93671935847851,0,"2011-04",3.4,16.09,125
"Asheville",2011,137,4,13.3610680208773,0,"2011-05",1.7,18.62,122.7
"Asheville",2011,138,4,14.5104782028976,0,"2011-06",1,23.27,81.2
"Asheville",2011,139,4,15.6318015751949,0,"2011-07",1.1,25.41,40.1
"Asheville",2011,140,4,13.9874732555307,0,"2011-08",1.4,24.25,48
"Asheville",2011,141,4,8.88514459980639,0,"2011-09",1.7,19.7,102.7
"Asheville",2011,142,4,6.82639147612707,0,"2011-10",1.6,13.3,47
"Asheville",2011,143,4,7.12056014428165,0,"2011-11",2.2,9.76,123.2
"Asheville",2011,144,4,6.96300225517323,0,"2011-12",2.3,7.36,92.5
"Asheville",2012,145,4,7.43680396933358,0,"2012-01",1.9,5.62,106
"Asheville",2012,146,4,9.33050562957101,0,"2012-02",2,7.31,27.9
"Asheville",2012,147,4,9.2970971598585,0,"2012-03",1.9,14.31,90.9
"Asheville",2012,148,4,9.03877039529476,0,"2012-04",1.8,15.2,151.4
"Asheville",2012,149,4,9.34557955403226,0,"2012-05",1.1,20.25,113.5
"Asheville",2012,150,4,10.6547831439378,0,"2012-06",1.1,21.98,57.6
"Asheville",2012,151,4,10.2993606706809,0,"2012-07",1,24.99,228.3
"Asheville",2012,152,4,9.43916809688114,0,"2012-08",0.9,22.91,43.8
"Asheville",2012,153,4,8.48305976227606,0,"2012-09",1.1,19.96,103
"Asheville",2012,154,4,7.30333643867667,0,"2012-10",1.6,13.37,77.9
"Asheville",2012,155,4,10.6803209177521,0,"2012-11",1.3,7.85,13.8
"Asheville",2012,156,4,8.25512225645291,0,"2012-12",1.7,6.72,99.3
"Asheville",2013,157,4,7.52450925968622,0,"2013-01",2.1,6.29,207.4
"Asheville",2013,158,4,7.56300594302134,0,"2013-02",2.2,4.56,80.2
"Asheville",2013,159,4,8.37168337657037,0,"2013-03",2.6,5.26,99.5
